time,rssi_rec,rssi_send,rssi_eve_rec,rssi_eve_send
127999343,-26,-20,-26,-48
128017089,-25,-21,-27,-48
128037053,-25,-22,-27,-47
128057082,-26,-21,-28,-47
128077964,-25,-22,-28,-48
128097063,-25,-22,-29,-46
128117055,-26,-22,-28,-47
128139830,-26,-21,-27,-47
128157059,-25,-21,-29,-48
128178851,-25,-21,-26,-48
128197098,-26,-21,-29,-48
128217106,-24,-21,-26,-48
128239588,-27,-23,-27,-48
128257091,-25,-22,-25,-48
128281235,-25,-22,-26,-48
128297071,-27,-22,-27,-47
128317075,-25,-21,-24,-47
128337089,-26,-21,-25,-48
128357073,-27,-22,-29,-48
128377083,-27,-22,-27,-49
128397270,-25,-22,-27,-49
128418428,-28,-22,-29,-48
128437074,-26,-22,-29,-48
128459125,-26,-19,-28,-48
128477144,-26,-21,-26,-49
128497096,-26,-19,-27,-47
128517065,-26,-20,-28,-48
128537098,-26,-20,-28,-49
128557090,-25,-18,-27,-48
128581166,-28,-19,-26,-49
128597087,-26,-20,-27,-49
128617101,-27,-20,-27,-49
128637101,-27,-20,-28,-48
128657097,-27,-19,-25,-49
128677086,-28,-20,-27,-49
128697067,-26,-20,-26,-48
128717119,-27,-20,-26,-49
128737120,-26,-19,-28,-49
128757087,-26,-21,-26,-49
128777075,-26,-20,-26,-49
128797071,-25,-20,-27,-49
128817081,-27,-19,-28,-50
128838219,-25,-20,-26,-49
128857086,-26,-20,-26,-50
128877068,-25,-19,-25,-49
128897095,-26,-20,-26,-49
128917089,-26,-21,-29,-48
128937084,-27,-20,-25,-49
128957647,-28,-22,-26,-48
128977112,-26,-21,-26,-49
128997927,-26,-22,-29,-49
129017277,-27,-21,-28,-50
129037076,-26,-22,-29,-49
129057085,-28,-21,-27,-49
129077068,-27,-22,-27,-49
129097220,-28,-22,-27,-50
129117099,-28,-22,-27,-50
129138394,-27,-21,-30,-49
129157096,-25,-20,-29,-48
129177109,-28,-21,-26,-50
129197098,-27,-20,-25,-50
129217129,-28,-19,-27,-50
129237634,-27,-20,-27,-49
129257102,-26,-19,-28,-50
129278305,-28,-20,-27,-49
129297112,-27,-20,-29,-50
129317066,-25,-20,-28,-49
129337085,-25,-19,-28,-50
129357091,-25,-20,-29,-50
129377100,-27,-20,-27,-48
129397128,-28,-20,-29,-50
129417112,-26,-19,-27,-50
129437092,-27,-20,-30,-50
129457087,-28,-20,-27,-50
129477129,-26,-19,-27,-50
129498609,-27,-19,-27,-49
129517068,-27,-20,-27,-49
129537079,-25,-20,-28,-49
129558133,-26,-20,-28,-50
129577098,-27,-20,-27,-49
129598628,-28,-18,-28,-49
129617070,-28,-19,-27,-49
129637106,-28,-19,-25,-49
129657090,-26,-20,-28,-49
129677101,-27,-19,-28,-50
129697095,-27,-20,-28,-50
129717081,-26,-20,-27,-50
129737124,-28,-19,-27,-49
129757130,-28,-20,-26,-49
129777092,-26,-19,-25,-49
129797150,-27,-20,-28,-49
129817135,-26,-19,-27,-49
129838139,-28,-20,-27,-49
129857178,-25,-20,-25,-50
129879180,-28,-19,-27,-50
129897130,-26,-20,-25,-49
129919522,-28,-20,-28,-49
129937109,-26,-19,-27,-50
129958230,-28,-19,-29,-50
129977091,-26,-20,-26,-49
129997149,-27,-20,-26,-50
130017102,-28,-20,-28,-49
130037132,-25,-20,-27,-50
130057154,-26,-20,-26,-49
130078250,-26,-20,-26,-50
130097509,-27,-19,-26,-50
130117487,-27,-20,-27,-50
130137240,-25,-19,-27,-50
130160438,-27,-20,-27,-50
130181951,-26,-20,-26,-50
130199902,-26,-20,-25,-49
130220836,-27,-20,-27,-50
130237100,-28,-19,-27,-50
130258235,-27,-20,-26,-49
130278303,-27,-20,-27,-50
130297091,-26,-20,-27,-49
130317076,-27,-20,-25,-50
130337112,-26,-19,-27,-49
130357096,-28,-20,-26,-49
130377565,-26,-20,-29,-49
130397118,-27,-20,-26,-50
130418696,-27,-20,-26,-50
130437110,-27,-19,-28,-50
130457118,-25,-19,-28,-50
130478885,-28,-18,-28,-50
130497156,-26,-20,-26,-50
130521158,-26,-21,-29,-50
130537091,-25,-20,-27,-50
130557114,-26,-20,-29,-50
130582551,-26,-20,-28,-51
130597076,-26,-21,-27,-50
130621244,-27,-20,-30,-50
130637149,-26,-20,-25,-51
130657112,-26,-19,-27,-50
130678162,-26,-21,-29,-50
130698395,-28,-19,-26,-50
130717089,-28,-19,-28,-50
130739001,-27,-20,-26,-51
130757161,-28,-21,-28,-51
130777131,-28,-20,-25,-51
130800778,-27,-20,-27,-51
130821219,-27,-21,-27,-52
130837505,-27,-21,-26,-51
130857497,-26,-21,-26,-52
130877169,-26,-21,-27,-52
130897117,-29,-20,-27,-52
130917341,-29,-21,-27,-51
130937087,-29,-21,-26,-51
130957101,-26,-21,-25,-52
130979329,-26,-21,-27,-52
130999055,-27,-22,-27,-51
131019144,-28,-19,-27,-51
131037136,-29,-20,-28,-51
131057106,-27,-19,-27,-51
131077103,-28,-20,-27,-51
131097097,-29,-19,-26,-51
131121541,-27,-19,-26,-51
131137110,-29,-18,-28,-52
131157093,-27,-18,-27,-51
131178395,-28,-19,-27,-51
131197101,-27,-20,-27,-51
131217115,-27,-20,-27,-52
131237042,-29,-19,-25,-52
131257103,-28,-19,-26,-52
131277942,-28,-18,-27,-51
131298983,-29,-19,-27,-51
131317100,-27,-17,-28,-51
131339872,-26,-20,-25,-51
131359129,-27,-17,-27,-51
131377101,-27,-19,-27,-51
131397150,-27,-18,-27,-51
131417123,-27,-19,-26,-51
131437122,-29,-18,-27,-52
131457151,-28,-19,-26,-51
131477103,-28,-19,-26,-51
131497108,-28,-20,-26,-51
131517595,-27,-18,-27,-52
131537179,-27,-19,-29,-52
131557387,-27,-19,-26,-51
131577131,-28,-19,-26,-50
131597116,-26,-20,-27,-51
131628962,-28,-18,-28,-51
131637131,-27,-19,-27,-52
131657229,-28,-19,-29,-51
131677102,-28,-19,-29,-52
131697111,-28,-19,-26,-51
131717116,-29,-19,-27,-52
131737107,-27,-19,-27,-51
131757109,-26,-20,-26,-51
131777159,-28,-19,-26,-51
131797635,-27,-18,-27,-51
131817122,-27,-19,-27,-51
131838325,-28,-19,-28,-51
131858814,-26,-19,-26,-51
131880583,-26,-20,-27,-51
131900039,-28,-19,-25,-51
131918873,-26,-19,-27,-51
131937127,-28,-19,-26,-50
131962823,-28,-19,-26,-50
131977141,-27,-18,-29,-51
131997099,-26,-19,-27,-51
132017127,-28,-18,-29,-50
132037140,-28,-18,-28,-51
132057135,-28,-18,-28,-51
132077131,-27,-19,-27,-51
132097122,-27,-19,-28,-51
132118790,-26,-20,-25,-51
132138972,-28,-19,-28,-50
132157139,-27,-20,-29,-51
132177119,-29,-19,-28,-51
132197098,-26,-19,-25,-51
132217126,-27,-19,-24,-51
132237114,-28,-18,-28,-51
132262467,-28,-18,-27,-50
132277106,-26,-18,-27,-50
132297166,-27,-19,-26,-51
132317142,-27,-18,-29,-50
132337357,-26,-18,-26,-51
132357119,-26,-18,-26,-51
132377188,-28,-18,-25,-51
132397240,-28,-19,-27,-51
132417158,-27,-19,-27,-51
132437113,-27,-18,-28,-52
132457122,-27,-19,-28,-51
132479737,-27,-18,-29,-50
132497139,-28,-19,-28,-51
132522234,-29,-19,-26,-50
132537128,-28,-19,-29,-51
132557163,-27,-19,-27,-51
132577158,-28,-20,-25,-51
132597111,-26,-18,-26,-50
132617171,-26,-19,-27,-51
132637137,-28,-19,-29,-51
132657551,-27,-18,-26,-51
132677110,-28,-19,-26,-51
132697112,-27,-19,-27,-50
132719244,-26,-19,-26,-51
132737138,-28,-19,-26,-51
132757120,-28,-20,-27,-51
132777524,-28,-19,-26,-50
132797126,-27,-19,-27,-50
132817192,-26,-19,-28,-50
132837143,-28,-19,-27,-51
132857112,-27,-18,-27,-51
132877102,-27,-19,-28,-51
132897144,-27,-19,-27,-51
132917595,-27,-19,-27,-50
132937160,-26,-18,-26,-51
132957125,-27,-19,-28,-50
132979737,-27,-19,-27,-51
132997114,-27,-19,-27,-50
133017126,-27,-19,-28,-50
133037186,-27,-19,-25,-50
133057318,-27,-19,-25,-50
133081163,-28,-19,-27,-50
133097145,-28,-19,-27,-51
133117875,-28,-20,-29,-50
133140713,-26,-19,-27,-50
133157140,-26,-19,-27,-51
133177126,-26,-19,-27,-51
133197139,-26,-19,-27,-50
133217143,-26,-19,-28,-50
133240369,-28,-20,-27,-51
133258430,-27,-19,-27,-50
133277127,-27,-19,-28,-51
133298841,-26,-19,-26,-51
133317170,-26,-19,-29,-51
133340380,-28,-19,-28,-51
133357112,-26,-19,-27,-51
133377140,-28,-18,-29,-51
133397770,-26,-19,-29,-51
133417161,-28,-19,-26,-51
133437138,-28,-18,-27,-51
133457140,-27,-19,-25,-51
133477247,-27,-19,-27,-51
133497123,-28,-18,-27,-51
133517127,-27,-17,-28,-51
133538474,-27,-19,-26,-51
133557145,-27,-18,-28,-51
133579169,-28,-19,-26,-51
133597448,-28,-19,-26,-51
133618156,-28,-19,-26,-51
133637615,-26,-18,-25,-51
133660018,-28,-19,-28,-51
133681586,-28,-19,-25,-50
133697149,-27,-19,-27,-51
133717135,-27,-19,-27,-51
133737138,-28,-19,-27,-51
133757135,-29,-19,-29,-51
133777142,-28,-19,-26,-51
133797227,-27,-19,-28,-51
133817128,-28,-19,-26,-51
133837176,-28,-18,-26,-51
133857181,-27,-19,-27,-51
133877140,-28,-18,-27,-51
133901920,-28,-19,-27,-50
133917129,-27,-19,-28,-51
133937144,-26,-19,-28,-51
133957139,-29,-19,-25,-51
133977159,-26,-18,-27,-51
133997960,-27,-19,-27,-51
134017122,-26,-18,-28,-51
134037130,-27,-19,-27,-51
134057150,-26,-19,-25,-51
134077617,-29,-19,-27,-51
134097194,-27,-19,-27,-51
134118512,-28,-19,-27,-50
134137146,-29,-19,-27,-51
134157125,-28,-19,-26,-51
134177130,-27,-19,-27,-51
134197147,-27,-19,-27,-51
134217292,-28,-19,-25,-51
134237125,-27,-19,-26,-51
134257150,-26,-19,-27,-51
134277142,-27,-18,-26,-51
134297151,-26,-19,-27,-51
134317148,-28,-19,-29,-51
134337824,-28,-19,-27,-51
134358092,-28,-19,-27,-51
134378616,-28,-17,-25,-51
134398580,-28,-19,-25,-51
134417149,-27,-19,-28,-51
134437140,-28,-19,-27,-51
134460102,-26,-19,-26,-51
134477149,-27,-19,-28,-51
134497163,-27,-19,-25,-51
134517146,-27,-19,-26,-51
134537163,-27,-18,-29,-51
134557211,-28,-18,-26,-50
134577144,-27,-19,-28,-51
134597369,-26,-19,-29,-51
134617140,-27,-19,-27,-51
134637139,-28,-19,-26,-51
134657166,-28,-19,-28,-51
134677350,-28,-19,-29,-51
134697997,-26,-19,-26,-50
134717142,-28,-19,-27,-51
134737132,-28,-19,-27,-51
134757140,-26,-19,-26,-51
134777167,-27,-18,-28,-50
134797148,-27,-19,-26,-51
134817163,-27,-19,-26,-51
134837150,-26,-19,-28,-50
134857190,-27,-19,-26,-51
134877172,-28,-17,-26,-50
134897556,-26,-19,-25,-51
