time,rssi_rec,rssi_send,rssi_eve_rec,rssi_eve_send
484675756,-38,-41,-50,-40
484694866,-36,-43,-49,-40
484715067,-36,-41,-51,-42
484734878,-36,-43,-51,-39
484754880,-36,-42,-52,-41
484774917,-36,-44,-51,-40
484796676,-37,-42,-51,-41
484815236,-39,-44,-52,-41
484836612,-37,-42,-51,-39
484855928,-38,-43,-50,-40
484874876,-36,-43,-49,-41
484894888,-36,-43,-49,-41
484914905,-39,-43,-47,-40
484934891,-39,-44,-49,-39
484957490,-39,-44,-49,-40
484974888,-39,-43,-50,-41
484995925,-39,-44,-50,-41
485014872,-37,-42,-53,-40
485034935,-36,-41,-54,-40
485054882,-35,-41,-54,-41
485075383,-36,-40,-53,-39
485096337,-36,-42,-54,-40
485116179,-37,-42,-53,-40
485135024,-38,-42,-54,-40
485155254,-35,-43,-53,-40
485177675,-38,-45,-53,-39
485196689,-41,-46,-55,-40
485214887,-41,-48,-55,-41
485235364,-44,-48,-54,-42
485254842,-46,-50,-53,-41
485274879,-45,-50,-52,-42
485295234,-47,-51,-51,-39
485315360,-49,-54,-48,-40
485335089,-50,-54,-49,-42
485354883,-48,-51,-46,-41
485374871,-47,-51,-48,-41
485395785,-47,-51,-47,-39
485414980,-46,-49,-48,-41
485434899,-45,-49,-46,-40
485454936,-45,-49,-48,-41
485474888,-44,-49,-47,-41
485495564,-45,-49,-48,-40
485514881,-44,-50,-48,-41
485534948,-43,-48,-48,-41
485555710,-42,-45,-47,-40
485574875,-39,-44,-49,-41
485594998,-40,-45,-48,-40
485615626,-39,-43,-50,-42
485634976,-36,-43,-50,-39
485656254,-37,-42,-49,-40
485674868,-37,-42,-49,-39
485696845,-36,-42,-48,-40
485714877,-36,-42,-48,-40
485734887,-35,-41,-47,-39
485754896,-35,-41,-46,-41
485774878,-36,-41,-47,-41
485798180,-36,-40,-46,-39
485814884,-37,-40,-47,-41
485834876,-38,-43,-46,-41
485854872,-37,-40,-46,-41
485874865,-35,-42,-45,-41
485894854,-36,-41,-45,-40
485915676,-36,-42,-46,-39
485938763,-34,-39,-46,-41
485957056,-35,-41,-44,-40
485974865,-37,-42,-45,-40
485995872,-38,-44,-44,-41
486014863,-39,-44,-44,-39
486035459,-36,-45,-42,-41
486054883,-39,-44,-43,-40
486074885,-38,-43,-43,-40
486094875,-37,-43,-41,-41
486115221,-33,-41,-42,-40
486136769,-34,-39,-42,-39
486154857,-33,-40,-43,-39
486175866,-33,-39,-41,-40
486194874,-34,-40,-42,-39
486216200,-35,-40,-42,-41
