time,rssi_rec,rssi_send,rssi_eve_rec,rssi_eve_send
495117591,-36,-42,-51,-36
495135953,-35,-43,-51,-34
495155952,-35,-42,-52,-36
495176063,-34,-40,-52,-35
495196191,-35,-42,-52,-34
495215974,-33,-41,-52,-34
495235965,-34,-41,-51,-34
495255927,-34,-40,-51,-35
495275926,-34,-43,-52,-34
495295929,-34,-42,-52,-35
495315916,-35,-42,-51,-35
495339167,-34,-43,-52,-35
495355935,-34,-41,-53,-33
495377120,-33,-41,-53,-33
495397635,-34,-43,-53,-33
495415915,-33,-43,-52,-35
495435938,-37,-41,-53,-36
495455942,-34,-40,-53,-35
495476600,-34,-40,-53,-34
495496816,-34,-42,-52,-34
495516479,-34,-41,-51,-35
495537101,-34,-42,-52,-35
495560225,-35,-41,-52,-34
495575963,-33,-42,-51,-33
495595932,-34,-41,-52,-34
495615916,-34,-42,-51,-35
495638139,-35,-41,-52,-34
495657590,-34,-42,-52,-35
495675948,-34,-42,-52,-34
495695929,-34,-43,-52,-33
495715943,-32,-42,-52,-34
495735949,-36,-42,-52,-36
495755953,-35,-43,-52,-35
495775909,-34,-43,-51,-35
495796144,-34,-42,-51,-35
495815919,-34,-42,-52,-35
495836003,-36,-41,-51,-36
495855918,-35,-42,-51,-35
495875941,-33,-43,-51,-33
495895898,-35,-43,-52,-35
495918321,-36,-41,-52,-34
495935893,-35,-43,-52,-33
495955927,-35,-43,-51,-35
495975938,-35,-42,-52,-35
495995971,-34,-43,-52,-33
496017994,-35,-44,-52,-35
496036012,-36,-42,-51,-33
496056049,-35,-42,-52,-35
496075908,-35,-43,-52,-35
496097645,-35,-42,-52,-34
496115938,-33,-42,-53,-33
496140280,-35,-43,-53,-35
496155919,-36,-43,-52,-34
496175923,-34,-41,-51,-35
496195965,-33,-42,-52,-34
496216821,-33,-42,-51,-33
496235977,-34,-43,-52,-34
496255924,-35,-43,-51,-32
496275931,-35,-42,-53,-33
496297519,-35,-43,-53,-33
496315990,-36,-43,-51,-33
496335907,-33,-42,-53,-35
496355908,-35,-42,-51,-34
496375903,-35,-42,-52,-35
496395923,-35,-43,-52,-34
496416118,-35,-42,-53,-34
496435926,-34,-43,-52,-33
496456239,-36,-42,-52,-35
496476317,-34,-41,-51,-33
496497058,-34,-43,-52,-34
496515925,-35,-41,-52,-33
496535904,-34,-43,-52,-34
496557856,-32,-42,-51,-33
496577880,-34,-43,-52,-35
496595913,-35,-42,-52,-34
496615894,-34,-42,-51,-35
496635924,-34,-40,-51,-34
496656376,-34,-44,-50,-35
496675924,-36,-40,-51,-34
496695895,-34,-43,-49,-35
496715917,-36,-42,-51,-33
496735920,-34,-41,-51,-35
496757039,-35,-43,-50,-34
496775919,-35,-41,-50,-35
496795914,-34,-42,-51,-35
496820163,-36,-42,-52,-33
496837406,-34,-42,-50,-33
496856181,-35,-42,-51,-33
496875912,-34,-43,-51,-34
496895899,-35,-43,-51,-36
496916883,-35,-43,-50,-34
496935905,-33,-41,-50,-35
496955933,-35,-42,-51,-34
496975902,-34,-42,-51,-35
496995941,-34,-42,-50,-34
497015956,-33,-41,-52,-34
497036051,-34,-41,-52,-33
497056413,-34,-43,-52,-36
497075903,-34,-41,-51,-34
497095899,-34,-42,-52,-33
497117858,-35,-41,-52,-33
497138438,-34,-42,-52,-33
497155924,-33,-43,-51,-34
497175885,-35,-40,-51,-35
497195918,-34,-41,-52,-34
497215877,-36,-43,-52,-34
497235914,-34,-43,-52,-34
497255900,-34,-42,-53,-33
497275970,-33,-42,-51,-34
497295909,-34,-42,-52,-35
497315897,-35,-43,-52,-34
497335930,-35,-42,-53,-35
497355892,-34,-43,-52,-36
497377058,-35,-43,-51,-33
497397393,-34,-42,-53,-34
497415897,-35,-41,-52,-35
497435896,-33,-43,-52,-34
497459280,-34,-42,-52,-35
497475899,-34,-41,-53,-33
497495875,-35,-43,-51,-33
497515950,-33,-42,-51,-35
497537867,-34,-42,-52,-35
497556273,-33,-43,-53,-35
497575894,-35,-43,-51,-36
497595902,-35,-43,-52,-35
497615878,-35,-42,-52,-35
497635903,-33,-43,-52,-33
497656410,-34,-43,-51,-35
497676664,-34,-42,-51,-34
497695905,-36,-43,-51,-35
497715923,-35,-43,-51,-34
497736071,-33,-43,-52,-34
497755917,-34,-43,-51,-35
497777068,-34,-43,-50,-35
497795932,-34,-42,-51,-33
497815890,-34,-42,-52,-33
497838479,-33,-43,-51,-34
497855891,-36,-43,-51,-35
497880328,-34,-43,-51,-34
497895872,-35,-42,-50,-35
497915915,-36,-42,-51,-34
497935895,-35,-43,-50,-33
497957563,-35,-41,-51,-34
497975891,-36,-43,-51,-33
497995893,-35,-43,-52,-34
498015889,-37,-42,-52,-33
498037253,-33,-42,-51,-34
498056628,-35,-43,-51,-35
498077263,-34,-43,-52,-34
498095877,-35,-43,-51,-34
498118079,-34,-42,-52,-34
498135909,-34,-43,-52,-34
498155892,-36,-42,-52,-34
498176909,-34,-43,-51,-35
498196265,-34,-40,-52,-34
498216628,-34,-42,-51,-34
